,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1099854,1576779,410118,Consumer loans,11600.28,62491.5,56241.0,6250.5,62491.5,MONDAY,10,Y,1,0.1089326184724758,,,XAP,Approved,-915,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,30,Connectivity,6.0,high,POS mobile with interest,365243.0,-884.0,-734.0,-734.0,-726.0,0.0
369598,2744769,116141,Revolving loans,38250.0,0.0,765000.0,,,WEDNESDAY,11,Y,1,,,,XAP,Approved,-835,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
591395,2111417,126972,Cash loans,,0.0,0.0,,,MONDAY,9,Y,1,,,,XNA,Canceled,-394,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
583522,2637259,300520,Cash loans,,0.0,0.0,,,TUESDAY,15,Y,1,,,,XNA,Refused,-49,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1353853,1915037,336316,Cash loans,17870.445,450000.0,553950.0,,450000.0,WEDNESDAY,5,Y,1,,,,XNA,Approved,-790,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60.0,low_normal,Cash X-Sell: low,365243.0,-760.0,1010.0,-280.0,-275.0,1.0
1149154,2124602,147552,Cash loans,,0.0,0.0,,,TUESDAY,12,Y,1,,,,XNA,Canceled,-541,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1508556,1615744,275433,Cash loans,32393.52,450000.0,497520.0,,450000.0,MONDAY,12,Y,1,,,,XNA,Canceled,-182,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,24.0,middle,Cash X-Sell: middle,,,,,,
1231852,1350967,241395,Consumer loans,43267.725,441543.96,423612.0,44157.96,441543.96,WEDNESDAY,20,Y,1,0.1028112895492476,,,XAP,Approved,-422,Cash through the bank,XAP,Family,New,Furniture,POS,XNA,Country-wide,13000,Furniture,12.0,middle,POS industry with interest,365243.0,-392.0,-62.0,-182.0,-180.0,1.0
1478582,1307611,109849,Consumer loans,2855.07,14058.0,14895.0,0.0,14058.0,WEDNESDAY,17,Y,1,0.0,,,XAP,Approved,-329,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,4601,Consumer electronics,6.0,middle,POS household with interest,365243.0,-299.0,-149.0,-149.0,-143.0,1.0
265269,1729758,143497,Cash loans,29472.84,1003500.0,1003500.0,,1003500.0,SUNDAY,8,Y,1,,,,XNA,Approved,-155,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60.0,low_normal,Cash X-Sell: low,365243.0,-125.0,1645.0,365243.0,365243.0,0.0
166844,2101843,212474,Consumer loans,10551.24,115213.5,115213.5,0.0,115213.5,SUNDAY,14,Y,1,0.0,,,XAP,Approved,-152,Cash through the bank,XAP,Family,Repeater,Furniture,POS,XNA,Country-wide,50,Furniture,12.0,low_action,POS industry without interest,365243.0,-122.0,208.0,365243.0,365243.0,0.0
1288826,1104786,414899,Consumer loans,3219.075,30595.5,27234.0,9000.0,30595.5,TUESDAY,14,Y,1,0.2705143837781692,,,XAP,Approved,-1624,Non-cash from your account,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,62,Connectivity,12.0,high,POS mobile with interest,365243.0,-1592.0,-1262.0,-1442.0,-1437.0,0.0
442927,2571374,358749,Cash loans,55264.68,666000.0,666000.0,,666000.0,SATURDAY,9,Y,1,,,,XNA,Approved,-592,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Stone,142,Consumer electronics,18.0,high,Cash X-Sell: high,365243.0,-562.0,-52.0,-52.0,-45.0,0.0
630276,1221621,164823,Consumer loans,13477.05,112018.5,109129.5,11205.0,112018.5,SATURDAY,15,Y,1,0.10141117997219112,,,XAP,Approved,-1157,XNA,XAP,Family,Repeater,Computers,POS,XNA,Regional / Local,500,Consumer electronics,10.0,middle,POS household with interest,365243.0,-1126.0,-856.0,-856.0,-846.0,0.0
340869,2560136,230981,Cash loans,12048.705,90000.0,109156.5,,90000.0,TUESDAY,12,Y,1,,,,XNA,Approved,-471,Cash through the bank,XAP,,Refreshed,XNA,Cash,x-sell,Credit and cash offices,0,XNA,12.0,high,Cash X-Sell: high,365243.0,-441.0,-111.0,-231.0,-221.0,1.0
1427478,1439960,392018,Consumer loans,13324.23,74835.0,68085.0,6750.0,74835.0,THURSDAY,8,Y,1,0.0982342972721806,,,XAP,Approved,-2263,XNA,XAP,"Spouse, partner",New,Computers,POS,XNA,Regional / Local,36,Consumer electronics,6.0,high,POS household with interest,365243.0,-2228.0,-2078.0,-2078.0,-2071.0,0.0
1559439,2783092,409704,Cash loans,27782.955,450000.0,533160.0,,450000.0,WEDNESDAY,15,Y,1,,,,XNA,Approved,-498,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Contact center,-1,XNA,48.0,high,Cash X-Sell: high,365243.0,-468.0,942.0,-438.0,-432.0,1.0
1117582,2362285,150402,Cash loans,21959.865,360000.0,393264.0,,360000.0,WEDNESDAY,7,Y,1,,,,XNA,Approved,-758,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,365243.0,-728.0,-38.0,-398.0,-390.0,1.0
1072258,2072437,304742,Cash loans,32580.765,337500.0,481608.0,,337500.0,WEDNESDAY,16,Y,1,,,,Buying a used car,Refused,-502,Cash through the bank,LIMIT,,Refreshed,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,36.0,high,Cash Street: high,,,,,,
592260,1421005,324736,Consumer loans,3815.505,21772.8,18126.0,4366.8,21772.8,MONDAY,19,Y,1,0.21143842393202186,,,XAP,Approved,-1101,Cash through the bank,XAP,,Repeater,Photo / Cinema Equipment,POS,XNA,Country-wide,25,Connectivity,5.0,low_normal,POS mobile without interest,365243.0,-1061.0,-941.0,-941.0,-934.0,0.0
1059623,2001673,368076,Consumer loans,8787.69,49491.0,46894.5,4950.0,49491.0,SATURDAY,17,Y,1,0.10398402916413503,,,XAP,Approved,-1123,Cash through the bank,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Country-wide,120,Consumer electronics,6.0,middle,POS household with interest,365243.0,-1092.0,-942.0,-972.0,-968.0,0.0
872990,1682464,431051,Revolving loans,2250.0,45000.0,45000.0,,45000.0,TUESDAY,11,Y,1,,,,XAP,Approved,-36,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,walk-in,Country-wide,1350,Consumer electronics,0.0,XNA,Card Street,-9.0,365243.0,365243.0,365243.0,365243.0,0.0
986710,1696633,244145,Cash loans,17130.06,531000.0,531000.0,,531000.0,FRIDAY,11,Y,1,,,,XNA,Approved,-168,Cash through the bank,XAP,Children,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60.0,low_normal,Cash X-Sell: low,365243.0,-138.0,1632.0,365243.0,365243.0,0.0
1347919,1246244,433949,Cash loans,24005.25,225000.0,225000.0,,225000.0,MONDAY,14,Y,1,,,,Urgent needs,Refused,-295,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Country-wide,45,Connectivity,12.0,middle,Cash Street: middle,,,,,,
1613503,2380213,199434,Cash loans,17937.675,135000.0,162508.5,,135000.0,MONDAY,10,Y,1,,,,XNA,Approved,-850,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),-1,XNA,12.0,high,Cash X-Sell: high,,,,,,
1547567,2546588,253989,Revolving loans,,0.0,0.0,,,FRIDAY,13,Y,1,,,,XAP,Canceled,-285,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
461939,2079813,377877,Consumer loans,56562.03,348772.5,316143.0,34879.5,348772.5,WEDNESDAY,12,Y,1,0.10821798136483088,,,XAP,Approved,-1323,Cash through the bank,XAP,Family,New,Construction Materials,POS,XNA,Stone,426,Construction,6.0,low_normal,POS industry without interest,365243.0,-1292.0,-1142.0,-1142.0,-1137.0,0.0
1560054,2838103,189693,Cash loans,,0.0,0.0,,,FRIDAY,11,Y,1,,,,XNA,Canceled,-6,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1172653,1568521,429991,Consumer loans,9262.53,107955.0,107955.0,0.0,107955.0,SUNDAY,17,Y,1,0.0,,,XAP,Approved,-2388,Cash through the bank,XAP,"Spouse, partner",New,Audio/Video,POS,XNA,Stone,2059,Consumer electronics,18.0,high,POS household with interest,365243.0,-2357.0,-1847.0,-2177.0,-2171.0,0.0
643010,2809632,362215,Consumer loans,10597.185,134284.5,111784.5,22500.0,134284.5,WEDNESDAY,13,Y,1,0.18248230774620644,,,XAP,Approved,-1671,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Stone,30,Consumer electronics,14.0,middle,POS household with interest,365243.0,-1639.0,-1249.0,-1249.0,-1247.0,0.0
1065616,1718947,280946,Consumer loans,4596.345,41499.0,41274.0,4500.0,41499.0,SATURDAY,19,Y,1,0.10706752940335316,,,XAP,Approved,-1596,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Regional / Local,35,Connectivity,14.0,high,POS mobile with interest,365243.0,-1565.0,-1175.0,-1235.0,-1231.0,0.0
1532024,2212240,338901,Cash loans,,0.0,0.0,,,MONDAY,18,Y,1,,,,XNA,Canceled,-143,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,0,XNA,,XNA,Cash,,,,,,
1194378,2691174,391062,Consumer loans,24100.065,198580.5,216144.0,0.0,198580.5,MONDAY,6,Y,1,0.0,,,XAP,Approved,-1792,XNA,XAP,Family,Refreshed,Furniture,POS,XNA,Regional / Local,695,Furniture,12.0,high,POS industry with interest,365243.0,-1761.0,-1431.0,-1431.0,-1422.0,0.0
32472,2785091,282131,Cash loans,21544.965,454500.0,508495.5,,454500.0,TUESDAY,10,Y,1,,,,XNA,Approved,-249,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low,365243.0,-219.0,831.0,365243.0,365243.0,1.0
1191485,1298489,429519,Cash loans,35927.325,180000.0,185940.0,0.0,180000.0,SUNDAY,12,Y,1,0.0,,,XNA,Approved,-2502,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,100,XNA,6.0,high,Cash Street: high,365243.0,-2472.0,-2322.0,-2322.0,-2313.0,1.0
434463,1456790,425153,Cash loans,13562.325,112500.0,119925.0,0.0,112500.0,THURSDAY,6,Y,1,0.0,,,XNA,Approved,-1869,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,high,Cash X-Sell: high,365243.0,-1839.0,-1509.0,-1509.0,-1502.0,1.0
1349731,1570292,366453,Consumer loans,8691.48,163516.5,147163.5,16353.0,163516.5,SUNDAY,12,Y,1,0.10891808249542792,,,XAP,Approved,-1146,Cash through the bank,XAP,Unaccompanied,Repeater,Photo / Cinema Equipment,POS,XNA,Country-wide,2775,Consumer electronics,24.0,middle,POS household with interest,365243.0,-1114.0,-424.0,-664.0,-656.0,0.0
1151259,1093907,214751,Cash loans,,0.0,0.0,,,FRIDAY,13,Y,1,,,,XNA,Canceled,-35,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1310672,2115139,124066,Cash loans,,0.0,0.0,,,THURSDAY,11,Y,1,,,,XNA,Refused,-267,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
812387,1268522,129636,Revolving loans,33750.0,675000.0,675000.0,,675000.0,THURSDAY,15,Y,1,,,,XAP,Approved,-284,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
421571,2752296,420841,Revolving loans,,0.0,0.0,,,MONDAY,8,Y,1,,,,XAP,Canceled,-345,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
567593,2700002,191364,Cash loans,26374.68,585000.0,677664.0,,585000.0,MONDAY,10,Y,1,,,,XNA,Refused,-807,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,middle,Cash X-Sell: middle,,,,,,
112242,2737244,393544,Cash loans,18599.85,315000.0,349096.5,,315000.0,MONDAY,14,Y,1,,,,XNA,Approved,-597,Cash through the bank,XAP,,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,365243.0,-567.0,123.0,-387.0,-381.0,1.0
183938,1243747,363964,Consumer loans,3217.5,29250.0,29250.0,0.0,29250.0,WEDNESDAY,18,Y,1,0.0,,,XAP,Approved,-428,Cash through the bank,XAP,,Refreshed,Computers,POS,XNA,Country-wide,200,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-389.0,-119.0,-329.0,-319.0,0.0
952650,1880094,282568,Cash loans,85151.07,1260000.0,1314886.5,,1260000.0,TUESDAY,15,Y,1,,,,XNA,Approved,-751,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,low_action,Cash X-Sell: low,365243.0,-721.0,-211.0,-301.0,-298.0,1.0
1395653,1955950,238263,Consumer loans,5750.28,96255.0,96255.0,0.0,96255.0,WEDNESDAY,12,Y,1,0.0,,,XAP,Approved,-742,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,500,Consumer electronics,18.0,low_action,POS household without interest,,,,,,
1528795,2333090,209331,Cash loans,5823.585,45000.0,47970.0,,45000.0,TUESDAY,13,Y,1,,,,Urgent needs,Approved,-685,Cash through the bank,XAP,Unaccompanied,New,XNA,Cash,walk-in,Country-wide,30,Connectivity,12.0,high,Cash Street: high,365243.0,-655.0,-325.0,-325.0,-323.0,1.0
1350518,1068413,223535,Consumer loans,,106411.5,106411.5,0.0,106411.5,TUESDAY,18,Y,1,0.0,,,XAP,Unused offer,-1698,Cash through the bank,CLIENT,Other_A,Repeater,Audio/Video,XNA,XNA,Country-wide,2178,Consumer electronics,,XNA,POS household with interest,,,,,,
564168,1038061,328155,Consumer loans,19072.395,107955.0,107955.0,0.0,107955.0,WEDNESDAY,19,Y,1,0.0,,,XAP,Refused,-422,Cash through the bank,LIMIT,,Repeater,Computers,POS,XNA,Country-wide,120,Consumer electronics,6.0,low_normal,POS household with interest,,,,,,
971498,2307856,173673,Cash loans,9127.35,135000.0,135000.0,0.0,135000.0,MONDAY,13,Y,1,0.0,,,XNA,Approved,-2489,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,24.0,high,Cash Street: high,365243.0,-2459.0,-1769.0,-1769.0,-1762.0,0.0
1517217,2831814,190860,Revolving loans,20250.0,0.0,405000.0,,,TUESDAY,10,Y,1,,,,XAP,Approved,-1501,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1188175,2241337,404981,Cash loans,8970.39,90000.0,95940.0,,90000.0,FRIDAY,8,Y,1,,,,XNA,Approved,-224,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-194.0,136.0,365243.0,365243.0,1.0
1610913,1858736,218811,Cash loans,19609.065,135000.0,165226.5,,135000.0,SUNDAY,10,Y,1,,,,Other,Refused,-361,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high,,,,,,
353229,1097112,410266,Cash loans,,0.0,0.0,,,MONDAY,8,Y,1,,,,XNA,Canceled,-213,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
880636,1316040,406943,Consumer loans,3830.805,29655.0,28890.0,2965.5,29655.0,SATURDAY,8,Y,1,0.10138591737405124,,,XAP,Approved,-2128,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,29,Connectivity,10.0,high,POS mobile with interest,365243.0,-2097.0,-1827.0,-1857.0,-1854.0,0.0
803984,2499329,271078,Consumer loans,8845.425,85716.0,94765.5,0.0,85716.0,WEDNESDAY,14,Y,1,0.0,,,XAP,Approved,-786,Cash through the bank,XAP,Unaccompanied,New,Audio/Video,POS,XNA,Regional / Local,100,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-755.0,-425.0,-425.0,-418.0,0.0
492144,1027321,331243,Consumer loans,5066.1,39501.0,43411.5,0.0,39501.0,SUNDAY,13,Y,1,0.0,,,XAP,Approved,-2444,Cash through the bank,XAP,Family,New,Audio/Video,POS,XNA,Country-wide,1137,Consumer electronics,12.0,high,POS household with interest,365243.0,-2409.0,-2079.0,-2079.0,-2073.0,1.0
848041,1416558,209952,Cash loans,9530.1,81000.0,86346.0,0.0,81000.0,SATURDAY,10,Y,1,0.0,,,XNA,Approved,-1973,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high,365243.0,-1943.0,-1613.0,-1613.0,-1608.0,1.0
1249693,1325166,358433,Cash loans,15129.45,135000.0,135000.0,0.0,135000.0,TUESDAY,12,Y,1,0.0,,,Other,Refused,-2253,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,12.0,high,Cash Street: high,,,,,,
874142,1707375,425045,Cash loans,,0.0,0.0,,,MONDAY,12,Y,1,,,,XNA,Canceled,-37,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
702277,2751884,294545,Cash loans,33445.53,1062000.0,1216201.5,,1062000.0,SATURDAY,11,Y,1,,,,XNA,Approved,-304,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60.0,low_normal,Cash X-Sell: low,365243.0,-274.0,1496.0,365243.0,365243.0,1.0
966677,2204179,343827,Cash loans,22497.66,630000.0,716485.5,,630000.0,SATURDAY,9,Y,1,,,,XNA,Approved,-394,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low,365243.0,-364.0,1046.0,365243.0,365243.0,1.0
408226,2118693,411772,Consumer loans,10631.16,60165.0,60165.0,0.0,60165.0,SATURDAY,11,Y,1,0.0,,,XAP,Approved,-955,Cash through the bank,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Stone,400,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-923.0,-773.0,-773.0,-765.0,0.0
159003,1335797,396919,Consumer loans,37230.435,372375.0,335137.5,37237.5,372375.0,MONDAY,17,Y,1,0.1089090909090909,,,XAP,Approved,-787,Cash through the bank,XAP,"Spouse, partner",New,Furniture,POS,XNA,Stone,1000,Furniture,10.0,low_normal,POS industry with interest,365243.0,-755.0,-485.0,-485.0,-480.0,0.0
829109,1559715,106061,Consumer loans,1984.185,39100.5,25276.5,18000.0,39100.5,TUESDAY,12,Y,1,0.4529857165814327,,,XAP,Refused,-1870,Cash through the bank,LIMIT,,Repeater,Mobile,POS,XNA,Stone,25,Connectivity,24.0,high,POS mobile with interest,,,,,,
1339993,2152210,440247,Cash loans,14019.705,135000.0,143910.0,,135000.0,WEDNESDAY,14,Y,1,,,,XNA,Refused,-309,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Country-wide,12,Connectivity,12.0,low_normal,Cash X-Sell: low,,,,,,
1349390,2101432,300537,Consumer loans,7339.41,86296.5,77665.5,8631.0,86296.5,TUESDAY,16,Y,1,0.10892612836399668,,,XAP,Approved,-1312,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Regional / Local,1328,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-1281.0,-951.0,-1191.0,-1187.0,0.0
1597776,1641571,294294,Consumer loans,11890.35,84141.0,75303.0,13500.0,84141.0,WEDNESDAY,11,Y,1,0.1655656596368058,,,XAP,Approved,-1554,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,22,Connectivity,8.0,high,POS mobile with interest,365243.0,-1523.0,-1313.0,-1403.0,-1396.0,0.0
64509,2766099,331250,Cash loans,15444.045,247500.0,274288.5,,247500.0,SATURDAY,14,Y,1,,,,XNA,Approved,-1097,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,365243.0,-1067.0,-377.0,-647.0,-641.0,1.0
140599,1921445,261850,Consumer loans,14869.8,252207.0,137200.5,126103.5,252207.0,THURSDAY,15,Y,1,0.5215954769184875,,,XAP,Approved,-844,Cash through the bank,XAP,,New,Construction Materials,POS,XNA,Regional / Local,5,Construction,10.0,low_action,POS industry with interest,365243.0,-805.0,-535.0,-655.0,-633.0,0.0
1232435,2361977,222857,Consumer loans,10797.615,93546.0,92524.5,9355.5,93546.0,THURSDAY,17,Y,1,0.10000971731448764,,,XAP,Approved,-2413,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,5000,Consumer electronics,12.0,high,POS household with interest,365243.0,-2382.0,-2052.0,-2172.0,-2165.0,1.0
695458,1413357,429689,Cash loans,19541.745,202500.0,233955.0,,202500.0,WEDNESDAY,15,Y,1,,,,XNA,Approved,-1707,Cash through the bank,XAP,Children,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,high,Cash X-Sell: high,365243.0,-1677.0,-1167.0,-1167.0,-1156.0,1.0
732113,1599259,399592,Cash loans,,0.0,0.0,,,THURSDAY,8,Y,1,,,,XNA,Canceled,-151,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1490488,2137900,193853,Consumer loans,6745.545,64084.5,64084.5,0.0,64084.5,FRIDAY,19,Y,1,0.0,,,XAP,Approved,-357,Cash through the bank,XAP,Family,New,Furniture,POS,XNA,Stone,100,Furniture,10.0,low_action,POS industry without interest,365243.0,-325.0,-55.0,-55.0,-47.0,0.0
544126,1547646,448329,Cash loans,59870.43,1615500.0,1615500.0,,1615500.0,MONDAY,12,Y,1,,,,XNA,Approved,-268,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_action,Cash X-Sell: low,365243.0,-238.0,812.0,365243.0,365243.0,0.0
1554169,2230052,158486,Consumer loans,15823.26,80995.5,85005.0,0.0,80995.5,TUESDAY,14,Y,1,0.0,,,XAP,Approved,-1303,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,1113,Consumer electronics,6.0,middle,POS household with interest,365243.0,-1272.0,-1122.0,-1122.0,-1116.0,0.0
1609438,2742740,420594,Cash loans,66778.2,2070000.0,2070000.0,,2070000.0,MONDAY,13,Y,1,,,,XNA,Approved,-714,XNA,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Contact center,-1,XNA,60.0,low_normal,Cash X-Sell: low,365243.0,-684.0,1086.0,-534.0,-528.0,0.0
668870,2141325,219525,Cash loans,27084.6,225000.0,269757.0,,225000.0,MONDAY,16,Y,1,,,,XNA,Approved,-1464,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,100,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-1434.0,-1104.0,-1254.0,-1248.0,1.0
743141,2417346,359408,Cash loans,,0.0,0.0,,,FRIDAY,12,Y,1,,,,XNA,Canceled,-360,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1266428,1166286,317457,Cash loans,,0.0,0.0,,,SATURDAY,10,Y,1,,,,XNA,Canceled,-191,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
122755,2231250,109884,Consumer loans,11804.355,103929.84,103929.84,0.0,103929.84,SATURDAY,13,Y,1,0.0,,,XAP,Refused,-419,Cash through the bank,LIMIT,,Repeater,Mobile,POS,XNA,Country-wide,10,Connectivity,10.0,low_normal,POS mobile without interest,,,,,,
931710,1458738,108819,Cash loans,,0.0,0.0,,,WEDNESDAY,12,Y,1,,,,XNA,Canceled,-167,XNA,XAP,,Repeater,XNA,XNA,XNA,Contact center,-1,XNA,,XNA,Cash,,,,,,
746912,1786552,387307,Cash loans,,0.0,0.0,,,FRIDAY,13,Y,1,,,,XNA,Canceled,-146,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1373329,1835197,194329,Cash loans,,0.0,0.0,,,TUESDAY,11,Y,1,,,,XNA,Canceled,-216,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
422719,1685862,308113,Consumer loans,10366.74,100458.0,111064.5,0.0,100458.0,FRIDAY,13,Y,1,0.0,,,XAP,Approved,-647,Cash through the bank,XAP,,Repeater,Audio/Video,POS,XNA,Country-wide,1500,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-616.0,-286.0,-316.0,-309.0,0.0
1623692,1333015,146910,Revolving loans,36000.0,720000.0,720000.0,,720000.0,MONDAY,11,Y,1,,,,XAP,Approved,-445,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,-409.0,-369.0,365243.0,365243.0,365243.0,0.0
516373,1655314,104916,Cash loans,3447.225,45000.0,50940.0,,45000.0,THURSDAY,15,Y,1,,,,Urgent needs,Refused,-418,Cash through the bank,HC,Family,New,XNA,Cash,walk-in,Country-wide,40,Connectivity,24.0,middle,Cash Street: middle,,,,,,
