,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
136487,258312,0,Cash loans,F,N,Y,0,157500.0,545040.0,20677.5,450000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.025164,-17058,-1602,-261.0,-588,,1,1,0,1,0,0,High skill tech staff,2.0,2,2,WEDNESDAY,11,0,0,0,0,1,1,Trade: type 7,0.4870403691435991,0.1915258625230554,0.6577838002083306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1058.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
265515,407522,0,Cash loans,F,N,Y,0,180000.0,715500.0,30442.5,715500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.031329,-20430,-1564,-12013.0,-3704,,1,1,0,1,0,0,Laborers,2.0,2,2,SATURDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.7661214815053339,0.7084334089307774,0.3996756156233169,0.0206,0.0415,0.9722,0.6192,0.0171,0.0,0.069,0.0833,,0.0274,0.016,0.0234,0.0039,0.0162,0.021,0.043,0.9722,0.6341,0.0172,0.0,0.069,0.0833,,0.027999999999999997,0.0174,0.0244,0.0039,0.0172,0.0208,0.0415,0.9722,0.6243,0.0172,0.0,0.069,0.0833,,0.0279,0.0162,0.0238,0.0039,0.0166,reg oper account,block of flats,0.0206,"Stone, brick",No,1.0,1.0,1.0,1.0,-1578.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,5.0
143964,266927,0,Cash loans,M,N,N,0,76500.0,343800.0,10921.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.005144,-21670,-2772,-2788.0,-3927,,1,1,1,1,0,0,Laborers,2.0,2,2,FRIDAY,15,0,0,0,0,1,1,Agriculture,,0.572465599500855,0.29859498978739724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
195986,327253,0,Cash loans,F,N,N,0,90000.0,545040.0,20547.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0105,-11656,-2365,-2792.0,-3217,,1,1,1,1,0,0,Sales staff,2.0,3,3,MONDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.5141223918895871,0.6079788516474143,0.7826078370261895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1827.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
160503,286064,0,Cash loans,F,N,N,0,67500.0,679500.0,19867.5,679500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.02461,-13305,-761,-3916.0,-2220,,1,1,0,1,1,0,,2.0,2,2,WEDNESDAY,18,0,0,0,0,0,0,Government,,0.5589924557567838,0.5884877883422673,0.0278,,0.9851,0.7959999999999999,0.0032,0.0,0.1034,0.0833,0.0417,0.0115,0.0227,0.0283,0.0,0.0,0.0284,,0.9851,0.804,0.0032,0.0,0.1034,0.0833,0.0417,0.0117,0.0248,0.0295,0.0,0.0,0.0281,,0.9851,0.7987,0.0032,0.0,0.1034,0.0833,0.0417,0.0117,0.0231,0.0289,0.0,0.0,reg oper account,block of flats,0.024,Panel,No,0.0,0.0,0.0,0.0,-1405.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0
55725,164565,0,Cash loans,F,N,Y,0,157500.0,524493.0,32215.5,486000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.009334,-21342,365243,-4210.0,-4576,,1,0,0,1,1,0,,2.0,2,2,TUESDAY,12,0,0,0,0,0,0,XNA,,0.5341767403003453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,7.0,0.0,-1736.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
101273,217578,0,Cash loans,F,N,Y,0,166500.0,473742.0,27324.0,418500.0,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.035792000000000004,-20060,-4316,-4254.0,-3431,,1,1,0,1,0,0,Accountants,2.0,2,2,THURSDAY,12,0,0,0,0,0,0,Self-employed,0.7703253570896085,0.6612748640980447,0.5226973172821112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,-2121.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,8.0
239646,377507,0,Cash loans,F,N,N,0,126000.0,270126.0,11574.0,193500.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.020713,-19084,-1474,-5345.0,-2593,,1,1,0,1,0,0,Sales staff,1.0,3,3,TUESDAY,7,0,0,0,1,1,0,Business Entity Type 3,,0.5057200067727623,0.5673792367572691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,-1775.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11352,113221,0,Cash loans,M,Y,N,2,112500.0,900000.0,26316.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-14299,-89,-7148.0,-3732,23.0,1,1,0,1,0,0,Laborers,4.0,2,2,FRIDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.06538414185760948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-368.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
246963,385782,0,Cash loans,M,N,Y,0,112500.0,314100.0,16164.0,225000.0,"Spouse, partner",Pensioner,Secondary / secondary special,Married,House / apartment,0.00733,-17599,365243,-7246.0,-1129,,1,0,0,1,0,0,,2.0,2,2,SATURDAY,13,0,0,0,0,0,0,XNA,,0.5744928023365322,0.807273923277881,0.0546,0.0582,0.9732,,,,0.2414,0.125,,0.096,,0.0634,,0.0235,0.0557,0.0604,0.9732,,,,0.2414,0.125,,0.0981,,0.0661,,0.0249,0.0552,0.0582,0.9732,,,,0.2414,0.125,,0.0976,,0.0646,,0.024,,block of flats,0.07200000000000001,"Stone, brick",No,0.0,0.0,0.0,0.0,-578.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
222325,357538,1,Cash loans,F,N,Y,0,135000.0,254700.0,14751.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.007114,-24317,365243,-1308.0,-4016,,1,0,0,1,1,0,,1.0,2,2,TUESDAY,14,0,0,0,0,0,0,XNA,,0.2620553359511834,,0.0742,0.0566,0.9866,0.8164,0.0669,0.08,0.069,0.3333,0.375,0.0672,0.0605,0.0775,0.0,0.0,0.0756,0.0588,0.9866,0.8236,0.0675,0.0806,0.069,0.3333,0.375,0.0688,0.0661,0.0807,0.0,0.0,0.0749,0.0566,0.9866,0.8189,0.0673,0.08,0.069,0.3333,0.375,0.0684,0.0616,0.0789,0.0,0.0,reg oper account,block of flats,0.0609,Panel,No,3.0,1.0,3.0,1.0,-1582.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
292952,439387,0,Cash loans,M,N,N,0,90000.0,585000.0,18868.5,585000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018209,-11146,-1413,-2761.0,-3500,,1,1,0,1,0,0,Drivers,2.0,3,3,TUESDAY,13,0,0,0,0,1,1,Medicine,0.2580828775219048,0.5335454889449429,0.2250868621163805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2043.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
8134,109487,0,Cash loans,F,N,N,0,157500.0,536917.5,22878.0,463500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-17820,-9345,-8773.0,-1364,,1,1,0,1,0,1,,2.0,2,2,FRIDAY,16,0,0,0,0,0,0,Business Entity Type 2,0.8157156930105358,0.8028030313293519,0.6479768603302221,0.0722,0.0468,0.9876,0.83,0.0474,0.08,0.069,0.3333,0.375,0.0392,0.057999999999999996,0.0731,0.0039,0.0057,0.0735,0.0486,0.9876,0.8367,0.0478,0.0806,0.069,0.3333,0.375,0.0401,0.0634,0.0762,0.0039,0.0061,0.0729,0.0468,0.9876,0.8323,0.0477,0.08,0.069,0.3333,0.375,0.0399,0.059000000000000004,0.0745,0.0039,0.0059,reg oper account,block of flats,0.0847,Panel,No,0.0,0.0,0.0,0.0,-1087.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,4.0
119453,238524,0,Cash loans,M,N,N,0,99000.0,675000.0,21906.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,0.014519999999999996,-19208,365243,-4634.0,-2769,,1,0,0,1,0,0,,1.0,2,2,TUESDAY,10,0,0,0,0,0,0,XNA,,0.2298535073078563,0.2707073872651806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1071.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73508,185240,0,Revolving loans,F,Y,Y,1,247500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.010006,-15333,-5565,-2126.0,-1365,9.0,1,1,0,1,0,0,Managers,3.0,2,2,TUESDAY,11,0,0,0,0,1,1,Government,0.5742539664728897,0.662732968955605,0.3344541255096772,0.0124,0.0,0.9876,0.83,0.0037,0.0,0.069,0.0417,0.0417,0.0,0.0101,0.0123,0.0,0.0093,0.0126,0.0,0.9876,0.8367,0.0038,0.0,0.069,0.0417,0.0417,0.0,0.011000000000000001,0.0129,0.0,0.0099,0.0125,0.0,0.9876,0.8323,0.0037,0.0,0.069,0.0417,0.0417,0.0,0.0103,0.0126,0.0,0.0095,reg oper account,block of flats,0.0097,Wooden,No,4.0,0.0,4.0,0.0,-2363.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,6.0
216834,351239,0,Revolving loans,F,N,Y,0,157500.0,270000.0,13500.0,270000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.026392,-9710,-832,-6008.0,-1878,,1,1,0,1,1,0,Accountants,2.0,2,2,FRIDAY,16,0,0,0,0,0,0,Police,,0.6033829435343382,0.5989262182569273,0.1278,0.0911,0.4903,,,0.04,0.1724,0.3333,,,,0.2103,,0.2969,0.0,0.0945,0.0005,,,0.0403,0.1724,0.3333,,,,0.2191,,0.3144,0.1291,0.0911,0.4903,,,0.04,0.1724,0.3333,,,,0.214,,0.3032,,block of flats,0.0,"Stone, brick",No,1.0,0.0,1.0,0.0,-607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
185016,314468,0,Cash loans,M,Y,N,1,90000.0,317979.0,19345.5,274500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008473999999999999,-18112,-11480,-11860.0,-1670,65.0,1,1,0,1,0,0,Laborers,3.0,2,2,MONDAY,14,0,0,0,0,0,0,Business Entity Type 2,,0.35772900999749196,0.7394117535524816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1653.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
283501,428348,0,Cash loans,M,Y,Y,1,112500.0,814041.0,23931.0,679500.0,"Spouse, partner",Working,Secondary / secondary special,Married,Municipal apartment,0.005144,-15913,-163,-8535.0,-4713,8.0,1,1,0,1,0,0,Drivers,3.0,2,2,SATURDAY,12,0,0,0,1,1,0,Business Entity Type 3,,0.3625210992608267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-974.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
264585,406414,0,Cash loans,F,Y,Y,2,135000.0,450000.0,24543.0,450000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.026392,-14010,-7066,-245.0,-4426,8.0,1,1,0,1,0,0,Core staff,4.0,2,2,FRIDAY,12,0,0,0,0,0,0,School,0.6450397007805134,0.6703875916203399,0.2940831009471255,0.2227,,0.9995,,,,0.2069,0.3333,,,,0.2643,,0.0,0.2269,,0.9995,,,,0.2069,0.3333,,,,0.2754,,0.0,0.2248,,0.9995,,,,0.2069,0.3333,,,,0.2691,,0.0,,block of flats,0.2079,Panel,No,0.0,0.0,0.0,0.0,-253.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
284364,429322,0,Cash loans,M,Y,N,0,99000.0,405000.0,21969.0,405000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00496,-9843,-295,-4412.0,-150,10.0,1,1,0,1,1,0,Laborers,2.0,2,2,THURSDAY,17,0,0,0,0,1,1,Business Entity Type 3,0.136802223185163,0.122187116886812,0.5779691187553125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1169.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
275523,419300,0,Cash loans,F,N,Y,0,151200.0,254700.0,25321.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.072508,-21286,-3647,-9778.0,-4685,,1,1,0,1,0,0,Laborers,1.0,1,1,MONDAY,13,0,0,0,0,0,0,Business Entity Type 3,,0.7462256029679143,0.8203829585116356,0.1619,0.1052,0.9866,0.8164,0.0,0.32,0.1379,0.5417,0.5833,0.0,0.1311,0.2114,0.0039,0.0528,0.1649,0.1092,0.9866,0.8236,0.0,0.3222,0.1379,0.5417,0.5833,0.0,0.1433,0.2202,0.0039,0.0559,0.1634,0.1052,0.9866,0.8189,0.0,0.32,0.1379,0.5417,0.5833,0.0,0.1334,0.2152,0.0039,0.0539,reg oper account,block of flats,0.1777,Panel,No,0.0,0.0,0.0,0.0,-1558.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0
82874,196121,0,Cash loans,F,N,Y,0,67500.0,207396.0,16515.0,157500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.007305,-22455,365243,-5832.0,-3935,,1,0,0,1,1,0,,2.0,3,3,SATURDAY,12,0,0,0,0,0,0,XNA,0.4701167305697674,0.5962075537804933,0.6512602186973006,0.0443,0.0449,0.9727,0.626,0.0012,0.0,0.069,0.0833,0.125,0.0,0.0357,0.0162,0.0019,0.0,0.0441,0.0423,0.9727,0.6406,0.0,0.0,0.069,0.0833,0.125,0.0,0.0386,0.0165,0.0,0.0,0.0448,0.0449,0.9727,0.631,0.0012,0.0,0.069,0.0833,0.125,0.0,0.0363,0.0165,0.0019,0.0,reg oper account,block of flats,0.0131,"Stone, brick",No,0.0,0.0,0.0,0.0,-1155.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
233817,370831,0,Cash loans,F,N,N,0,112500.0,450000.0,23107.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.002042,-13884,-2949,-1618.0,-4813,,1,1,1,1,0,0,Core staff,2.0,3,3,WEDNESDAY,12,0,0,0,0,0,0,Kindergarten,0.5078030549052356,0.4700464048654667,0.622922000268356,0.0155,,0.9757,0.6668,0.0,0.0,0.069,0.0417,0.0833,0.0067,,0.0094,,0.0194,0.0158,,0.9757,0.6798,0.0,0.0,0.069,0.0417,0.0833,0.0068,,0.0098,,0.0205,0.0156,,0.9757,0.6713,0.0,0.0,0.069,0.0417,0.0833,0.0068,,0.0096,,0.0198,reg oper account,block of flats,0.0114,,No,7.0,0.0,7.0,0.0,-1002.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
218454,353093,0,Cash loans,F,N,Y,0,157500.0,314100.0,13437.0,225000.0,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,0.010147,-23791,365243,-13072.0,-4017,,1,0,0,1,1,0,,1.0,2,2,FRIDAY,15,0,0,0,0,0,0,XNA,,0.7195382471735445,0.4241303111942548,0.1485,0.08199999999999999,0.9816,0.7484,0.0408,0.16,0.1379,0.3333,0.375,0.025,0.121,0.1615,0.0,0.0,0.1513,0.0851,0.9816,0.7583,0.0411,0.1611,0.1379,0.3333,0.375,0.0256,0.1322,0.1683,0.0,0.0,0.1499,0.08199999999999999,0.9816,0.7518,0.040999999999999995,0.16,0.1379,0.3333,0.375,0.0254,0.1231,0.1644,0.0,0.0,org spec account,block of flats,0.1493,Panel,No,2.0,0.0,1.0,0.0,-443.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
37429,143356,0,Cash loans,F,Y,Y,0,67500.0,808650.0,26217.0,675000.0,Other_B,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-20509,365243,-6623.0,-3979,1.0,1,0,0,1,1,0,,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,XNA,,0.4670841773888096,0.4223696523543468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
204694,337301,0,Cash loans,F,Y,Y,0,202500.0,648351.0,59593.5,612000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Co-op apartment,0.04622,-19055,-131,-5863.0,-2410,65.0,1,1,0,1,0,0,High skill tech staff,2.0,1,1,MONDAY,17,0,0,0,0,1,1,Trade: type 3,0.6015956621801201,0.6943055686963661,0.4489622731076524,0.0742,,0.9836,,,0.08,0.069,0.3333,,,,0.0761,,,0.0756,,0.9836,,,0.0806,0.069,0.3333,,,,0.0793,,,0.0749,,0.9836,,,0.08,0.069,0.3333,,,,0.0775,,,,block of flats,0.0669,Panel,No,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
206102,338899,0,Cash loans,M,N,N,0,135000.0,161505.0,13990.5,130500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.003813,-20610,-2266,-2895.0,-2910,,1,1,0,1,0,0,Drivers,2.0,2,2,TUESDAY,5,0,0,0,1,1,0,Business Entity Type 3,,0.3189928844970432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1148.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
215532,349738,0,Cash loans,F,N,N,0,180000.0,1288350.0,41692.5,1125000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.04622,-9581,-1072,-4212.0,-881,,1,1,0,1,0,0,Core staff,2.0,1,1,WEDNESDAY,18,0,0,0,0,0,0,Government,0.5791932263426744,0.6927019796544368,0.5136937663039473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-847.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
268684,411370,0,Cash loans,F,N,N,0,94500.0,808650.0,26086.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.008473999999999999,-13284,-4104,-4989.0,-3934,,1,1,1,1,1,0,Managers,2.0,2,2,TUESDAY,11,0,0,0,0,0,0,Medicine,,0.7125490431202984,0.2650494299443805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1767.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16485,119226,0,Cash loans,F,N,Y,2,135000.0,1507869.0,52542.0,1377000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.020246,-13756,-2116,-136.0,-3431,,1,1,0,1,1,1,Core staff,4.0,3,3,FRIDAY,6,0,0,0,0,0,0,Kindergarten,0.5798588040143291,0.4909879487999727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1054.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
237816,375450,0,Cash loans,F,N,Y,1,180000.0,1078200.0,31653.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008625,-11387,-3549,-4708.0,-3982,,1,1,1,1,0,0,,3.0,2,2,TUESDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.5571857670705559,0.4561097392782771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-492.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
111269,229096,0,Cash loans,M,Y,N,1,315000.0,616761.0,48856.5,571500.0,Unaccompanied,Working,Higher education,Married,With parents,0.006852,-11178,-1106,-1405.0,-1405,10.0,1,1,0,1,0,0,,3.0,3,3,WEDNESDAY,5,0,0,0,1,1,0,Military,,0.027838476595173,0.2851799046358216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-133.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
192895,323691,0,Cash loans,F,Y,Y,0,180000.0,900000.0,40801.5,900000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.030755,-16223,-4041,-10022.0,-4565,3.0,1,1,1,1,1,0,Accountants,2.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.7688498138210016,0.4014074137749511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1979.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0
